book_id,title,author,date,categorized_subject,description,preface
army,Manual For Army Cooks,['United States War Department.'],1896,American,Manual For Army Cooks Prepared Under the Direction of the Commissary General of Subsistence.,
beec,Miss Beecher's Domestic Receipt Book: Designed as a Supplement to Her Treatise on Domestic Economy,['Catharine Esther Beecher'],1850,American,,"PREFACE. THE following objects are aimed at in this work: First original Second, the best. any Third, every one Fourth, Fifth, Sixth, Encyclopædia of Domestic Economy, by Thomas Webster and Mrs. Parkes, Lastly, fussing In accomplishing these objects, the writer has received contributions of the pen, and verbal communications, from some of the most judicious and practical housekeepers, in almost every section of this country."
blue,The Blue Grass Cook Book,['Minnie C. Fox'],1904,American,,
bost,The Boston Cooking-School Cook Book,['Fannie Merritt Farmer'],1896,American,,"PREFACE. ""BUT for life the universe were nothing; and all that has life requires nourishment."" With the progress of knowledge the needs of the human body have not been forgotten. During the last decade much time has been given by scientists to the study of foods and their dietetic value, and it is a subject which rightfully should demand much consideration from all. I certainly feel that the time is not far distant when a knowledge of the principles of diet will be an essential part of one's education. Then mankind will eat to live, will be able to do better mental and physical work, and disease will be less frequent. At the earnest solicitation of educators, pupils, and friends, I have been urged to prepare this book, and I trust it may be a help to many who need its aid. It is my wish that it may not only be looked upon as a compilation of tried and tested recipes, but that it may awaken an interest through its condensed scientific knowledge which will lead to deeper thought and broader study of what to eat. F. M. F."
brkf,"Breakfast, Luncheon and Tea",['Marion. Harland'],1875,American,Familiar talk with the Reader--Introductory; Familiar talk with the Reader--Breakfast; Familiar talk with the Reader--Croquettes; Familiar talk with the Reader--Haste or Waste? ; Familiar talk with the Reader--Gravy.,
buck,"Buckeye cookery, and practical housekeeping : compiled from original recipes",['Estelle Woods Wilcox'],1877,American,,"PREFACE. IT is becoming fashionable in these pinching times to economize, and housekeepers are really finding it a pleasant pastime to search out and stop wastes in household expenses, and to exercise the thousand little economies which thoughtful and careful women understand so readily and practice with such grace. Somebody has said that a well-to-do French family would live on what an American household in the same condition of life wastes, and this may not be a great exaggeration. Here, the greatest source of waste is in the blunders and experiments of the inexperienced. Women are slow to learn by the experience of others. Every young house-keeper must begin at the beginning (unless her mother was wise enough to give her a careful training) and blunder into a knowledge of the practical duties of the household, wasting time, temper and money in mistakes, when such simple instructions as any skillful housewife might readily give, would be an almost perfect guide. Lately there have been attempts to gather such instructions as are needed into a book, but they have been partial failures, because the authors have been good book-makers, but poor bread-makers, or because, while practically familiar with the subjects treated, they have failed to express clearly and concisely the full processes in detail. In compiling this new candidate for favor, the one aim has been to pack between its covers the greatest possible amount of practical information of real value to all, and especially to the inexperienced. It is not a hap-hazard collection of recipes, gathere at random from doubtful sources, but has The arrangement of subjects treated, whenever practicable, has been made in the simple order of the alphabet, and for the sake of still more ready reference a very full alphabetical index has been added. The instructions which precede the recipes of each department, have been carefully made up, and are entirely trustworthy, and the recipes themselves are new to print, and well indorsed. Several suggestive articles have also been introduced, which, though not belonging strictly to cookery, bear such close relations to it that the fitness of their appearance in the connection is evident. There has been no attempt at display or effect, the only purpose being to express ideas as clearly and concisely as possible, and to make a thoroughly simple and practical work. In the effort to avoid the mistakes of others, greater errors may have been committed; but the book is submitted just as it is to the generous judgement of those who consult it, with the hope that it may lessen their perplexities; and stimulate that just pride without which work is drudgery and great excellence impossible."
cclu,Cooking in old Créole days La cuisine créole à l'usage des petits ménages,['Célestine. Eustis'],1904,American,Sample recipes: Gumbo Filé. Creme d'Orge. Okra Gumbo. Crab Gumbo. Herb Gumbo.,
chin,Chinese-Japanese Cook Book,"['Sara Bosse', 'Onoto Watanna']",1914,American,"Part 1 Chinese Recipes. Rules for Cooking. Soups. Gravy. Fish. Poultry and Game. Meats. Chop Sueys. Chow Mains. Fried Rice. Omelettes. Vegetables. Cakes. Part II. Japanese Recipes. Soups. Fish. Poultry and Game. Omelettes and Custards. Vegetable and Relishes. Cakes, Candies, Sweetmeats. Bean Sprouts and Beverages. List of Chinese and Japanese Groceries. Index.","PREFACE Chinese cooking in recent years has become very popular in America, and certain Japanese dishes are also in high favor. The restaurants are no longer merely the resort of curious idlers, intent upon studying types peculiar to Chinatown, for the Chinese restaurants have pushed their way out of Chinatown and are now found in all parts of the large cities of America. In New York they rub elbows with and challenge competition with the finest eating palaces. Their patronage to-day is of the very best, and many of their dishes are justly famous. There is no reason why these same dishes should not be cooked and served in any American home. When it is known how simple and clean are the ingredients used to make up these Oriental dishes, the Westerner will cease to feel that natural repugnance which assails one when about to taste a strange dish of a new and strange land. Bread, butter, and potatoes are never used by the Chinese or Japanese. Tea is drunk plain, with neither cream nor sugar, but great care should be used in its brewing. Rice is indispensable, and should be cooked in that peculiarly delectable fashion of which the Oriental peoples alone are past masters. The secret of the solid, flaky, almost dry, yet thoroughly cooked rice lies in the fact that it is never boiled more than thirty minutes, is covered twenty minutes, never stirred nor disturbed, and set to dry on back of range when cooked, covered with a cloth. Mushy, wet, slimy, overcooked rice is unknown to the Chinese and Japanese. Sweetened rice, as in rice pudding and similar dishes, is unknown. Rice takes the place of such staples as bread and potatoes. Syou, sometimes called Soye, is similar to Worcestershire and similar European sauces. In fact, the latter are all said to be adaptations of the original Chinese syou, and most of these European sauces contain In China, with the exception of rice, bonbons, and so on, food is served in one large dish or bowl, out of which all eat, using the chop-sticks. Considerable etiquette governs the manner of picking desired morsels from the main bowls. In high-caste or mandarin families a servant has his place at the foot of the table, but he stands throughout the meal. It is his duty to serve at the table the portions from the main dishes to each individual, and to do what the host generally does for the comfort of those at table. The other servants waiting on table take their orders from him, and he is really there as a sort of proxy for the host. In Japan, individual meals are brought in on separate trays to each person. All sit cross-legged upon the floor before their trays. The Japanese consider it gross and vulgar to put For this book only such Chinese and Japanese dishes have been selected as would appeal to the Western palate, and which can be prepared with the kitchen utensils of Western civilization. Many dishes prepared by the Chinese cooks in this country are only modifications of their native dishes. Recipes for the same dish, obtained from different parts of China, vary considerably. The combinations here given are those which experience has proved most easily prepared and most palatable. The authors advise any one who intends to cook ""Chinese"" to go to some Chinese restaurant and taste the various dishes he desires to cook. A good cook always should know what a dish tastes like before he tries to cook it. All cooks can tell how the taste of a strange dish reveals to him No cookbooks, so far as the authors know, have ever been published in China. Recipes descend like heirlooms from one generation of cooks to another. The recipes included in this book (the Chinese ones, that is) have been handed down from Vo Ling, a worthy descendant of a long line of noted Chinese cooks, and himself head cook to Gow Gai, one time highest mandarin of Shanghai. They are all genuine, and were given as an especial expression of respect by a near relative of the famous family of Chinese cooks."
comm,Common Sense in The Household : A Manual of Practical Housewifery,['Marion Harland'],1873,American,,
conf,"The Complete Confectioner, Pastry-Cook, and Baker",['Parkinson'],1864,American,"Complete title: The Complete Confectioner, Pastry-Cook, and Baker. Plain and Practical Directions for Making Confectionary and Pastry, and for Baking; with Upwards of Five Hundred Receipts: Consisting of Directions for Making All Sorts of Preserves, Sugar-Boiling, Comfits, Lozenges, Ornamental Cakes, Ices Liquers, Waters, Gum-Paste Ornaments Syrups, Jellies, Marmalades, Compotes, Bread-Baking, Artificial Yeasts, Fancy Biscuits, Cakes, Rolls, Muffins, Tarts, Pies, &c. &c.","PREFACE ALMOST every foreigner who visits this country remarks with astonishment the almost universal neglect of that art upon which, more than any thing else, depends the health and comfort of a people; and by many scientific men have most of the prevalent diseases of this country, especially the dyspepsia, been ascribed to the hurried, crude and unwholesome manner in which our food is prepared; of latter years, more attention has been paid to cooking; but the handmaiden of that parent art, confectionary, is still neglected and unknown, yet it is of little less importance than the graver branch referred to. Confectionary is the poetry of epicurism it throws over the heavy enjoyments of the table the relief of a milder indulgence, and dispenses the delights of a lighter and more harmless gratification of the appetite. The dessert, properly prepared, contributes equally to health and comfort; but ""got up"" as confectionary too often is, it is not only distasteful to a correct palate, but is deleterious and often actually poisonous. In introducing to the American public the modes by which the table of hospitality may be enriched and Having for many years been connected with the oldest, most extensive and successful confectionary establishment in the country, we have been enabled to make from our own experience many important modifications and to introduce many additional receipts, particularly in relation to the various articles of luxury which the bounty of our soil and climate render almost exclusively American. The volume has thus been increased in size, and we trust improved in value. Trusting that our efforts to advance the popular knowledge of the art which has for many years engaged our attention, may meet with approbation, we present the result of our labours to a candid and indulgent public. Chestnut Street,"
