book_id,title,author,date,categorized_subject,description,preface
aunt,"""Aunt Babette's"" Cook Book Foreign and Domestic Receipts for the Household A valuable collection of receipts and hints for the housewife, many of which are not to be found elsewhere","['""Aunt Babette""']",1889,Jewish,"Preface. Miscellaneous. Soups. Fish and Oysters. Fish and Meat Sauces. Meats. Poultry. Game. Entrees. Eggs. Vegetables. Salads. Sandwiches. Bread. Toasts, Fritters, Waffles, Etc. Dumplings. Pies. Puddings. Pudding Sauces. Strudels. Creams, Custards, Etc. Cake. Layer and Tart Cakes. Coffee Cakes. Icing for Cakes. Cookies, Etc. Ice-Cream, Etc. Confectionery. Preserves. Jellies. Brandied Fruits. Raw Fruit Desserts. Canning. Pickles, Relishes, Etc. Beverages. Easter Dishes. Bills of Fare. Wedding Menu. Valuable Hints.","PREFACE. IN compiling these receipts, dear reader, it never occurred to me that the public would ever lay eyes on them. I hoarded them up as treasures for my own daughters and grandchildren. I think it the duty of every woman to be the head of her household, as much as it is the duty of the man to be the head of his place of business or counting room, wherein to rule means to understand his position and duties. This same rule is applicable to the household. In order to govern and command the respect of your servants and to show them that you are not ignorant of the duties you expect them to perform, you must first learn the management of a household yourself. The more and better educated you are the more fit you are to perform the duties of help-meet to your dear husband. It is indeed a wife's duty to see that nothing goes to waste, and food improperly prepared is a waste; and what is still more important the health of every member of the family depends on properly selected and prepared food, made palatable by seasoning, and that not too high. A young lady ignorant of housekeeping and its duties is as unfit to be married as a Many a lady may tell you that she did not know how to make a cup of tea when she got married, but prides herself on being an excellent ""cook and housekeeper"" now. Well and good, all honor is due her for her industry and perseverance, but she probably never told you of the heartaches and restless nights of worry it caused her when Henry came home and told her that his dear mother or father intended paying them a visit, or that he had invited them to dinner, on a special occasion, and wouldn't dear mother In issuing this edition for the ""household"" II must admit with thanks that I owe my success to the many encouraging letters received, through the kindness of the publishers, from intelligent housekeepers all over the country. The letters of praise and kind acknowledgments I have in my possession would alone fill a volume like this. BABETTE."
bart,The Ideal Bartender,['Tom Bullock'],1917,AfricanAmerican,,
cclu,Cooking in old Créole days La cuisine créole à l'usage des petits ménages,['Célestine. Eustis'],1904,Creole,Sample recipes: Gumbo Filé. Creme d'Orge. Okra Gumbo. Crab Gumbo. Herb Gumbo.,
chin,Chinese-Japanese Cook Book,"['Sara Bosse', 'Onoto Watanna']",1914,Chinese,"Part 1 Chinese Recipes. Rules for Cooking. Soups. Gravy. Fish. Poultry and Game. Meats. Chop Sueys. Chow Mains. Fried Rice. Omelettes. Vegetables. Cakes. Part II. Japanese Recipes. Soups. Fish. Poultry and Game. Omelettes and Custards. Vegetable and Relishes. Cakes, Candies, Sweetmeats. Bean Sprouts and Beverages. List of Chinese and Japanese Groceries. Index.","PREFACE Chinese cooking in recent years has become very popular in America, and certain Japanese dishes are also in high favor. The restaurants are no longer merely the resort of curious idlers, intent upon studying types peculiar to Chinatown, for the Chinese restaurants have pushed their way out of Chinatown and are now found in all parts of the large cities of America. In New York they rub elbows with and challenge competition with the finest eating palaces. Their patronage to-day is of the very best, and many of their dishes are justly famous. There is no reason why these same dishes should not be cooked and served in any American home. When it is known how simple and clean are the ingredients used to make up these Oriental dishes, the Westerner will cease to feel that natural repugnance which assails one when about to taste a strange dish of a new and strange land. Bread, butter, and potatoes are never used by the Chinese or Japanese. Tea is drunk plain, with neither cream nor sugar, but great care should be used in its brewing. Rice is indispensable, and should be cooked in that peculiarly delectable fashion of which the Oriental peoples alone are past masters. The secret of the solid, flaky, almost dry, yet thoroughly cooked rice lies in the fact that it is never boiled more than thirty minutes, is covered twenty minutes, never stirred nor disturbed, and set to dry on back of range when cooked, covered with a cloth. Mushy, wet, slimy, overcooked rice is unknown to the Chinese and Japanese. Sweetened rice, as in rice pudding and similar dishes, is unknown. Rice takes the place of such staples as bread and potatoes. Syou, sometimes called Soye, is similar to Worcestershire and similar European sauces. In fact, the latter are all said to be adaptations of the original Chinese syou, and most of these European sauces contain In China, with the exception of rice, bonbons, and so on, food is served in one large dish or bowl, out of which all eat, using the chop-sticks. Considerable etiquette governs the manner of picking desired morsels from the main bowls. In high-caste or mandarin families a servant has his place at the foot of the table, but he stands throughout the meal. It is his duty to serve at the table the portions from the main dishes to each individual, and to do what the host generally does for the comfort of those at table. The other servants waiting on table take their orders from him, and he is really there as a sort of proxy for the host. In Japan, individual meals are brought in on separate trays to each person. All sit cross-legged upon the floor before their trays. The Japanese consider it gross and vulgar to put For this book only such Chinese and Japanese dishes have been selected as would appeal to the Western palate, and which can be prepared with the kitchen utensils of Western civilization. Many dishes prepared by the Chinese cooks in this country are only modifications of their native dishes. Recipes for the same dish, obtained from different parts of China, vary considerably. The combinations here given are those which experience has proved most easily prepared and most palatable. The authors advise any one who intends to cook ""Chinese"" to go to some Chinese restaurant and taste the various dishes he desires to cook. A good cook always should know what a dish tastes like before he tries to cook it. All cooks can tell how the taste of a strange dish reveals to him No cookbooks, so far as the authors know, have ever been published in China. Recipes descend like heirlooms from one generation of cooks to another. The recipes included in this book (the Chinese ones, that is) have been handed down from Vo Ling, a worthy descendant of a long line of noted Chinese cooks, and himself head cook to Gow Gai, one time highest mandarin of Shanghai. They are all genuine, and were given as an especial expression of respect by a near relative of the famous family of Chinese cooks."
conf,"The Complete Confectioner, Pastry-Cook, and Baker",['Parkinson'],1864,English,"Complete title: The Complete Confectioner, Pastry-Cook, and Baker. Plain and Practical Directions for Making Confectionary and Pastry, and for Baking; with Upwards of Five Hundred Receipts: Consisting of Directions for Making All Sorts of Preserves, Sugar-Boiling, Comfits, Lozenges, Ornamental Cakes, Ices Liquers, Waters, Gum-Paste Ornaments Syrups, Jellies, Marmalades, Compotes, Bread-Baking, Artificial Yeasts, Fancy Biscuits, Cakes, Rolls, Muffins, Tarts, Pies, &c. &c.","PREFACE ALMOST every foreigner who visits this country remarks with astonishment the almost universal neglect of that art upon which, more than any thing else, depends the health and comfort of a people; and by many scientific men have most of the prevalent diseases of this country, especially the dyspepsia, been ascribed to the hurried, crude and unwholesome manner in which our food is prepared; of latter years, more attention has been paid to cooking; but the handmaiden of that parent art, confectionary, is still neglected and unknown, yet it is of little less importance than the graver branch referred to. Confectionary is the poetry of epicurism it throws over the heavy enjoyments of the table the relief of a milder indulgence, and dispenses the delights of a lighter and more harmless gratification of the appetite. The dessert, properly prepared, contributes equally to health and comfort; but ""got up"" as confectionary too often is, it is not only distasteful to a correct palate, but is deleterious and often actually poisonous. In introducing to the American public the modes by which the table of hospitality may be enriched and Having for many years been connected with the oldest, most extensive and successful confectionary establishment in the country, we have been enabled to make from our own experience many important modifications and to introduce many additional receipts, particularly in relation to the various articles of luxury which the bounty of our soil and climate render almost exclusively American. The volume has thus been increased in size, and we trust improved in value. Trusting that our efforts to advance the popular knowledge of the art which has for many years engaged our attention, may meet with approbation, we present the result of our labours to a candid and indulgent public. Chestnut Street,"
creo,La Cuisine Creole,['Lafcadio Hearn'],1885,Creole,"Complete title: La Cusine Creole, a Collection of Culinary Recipes From Leading Chefs and Noted Creole Housewives, Who Have Made New Orleans Famous for Its Cuisine.",
dish,Dishes & Beverages of the Old South,['Martha McCulloch-Williams'],1913,AfricanAmerican,"Grace before Meat. The Staff of Life. Saving Your Bacon. Hams and Other Hams. For Thirsty Souls. Paste, Pies, Puddings. Creole Cookery. Cakes, Great and Small. Meat, Poultry, Game, Eggs. Soups, Salads, Relishes. Vegetables, Fruit Desserts, Sandwiches. Pickles, Preserves, Coffee, Tea, Chocolate. When the Orchards ""Hit"". Upon Occasions. Soap and Candles.",
epia,The Epicurean,['Charles. Ranhofer'],1893,French,"Complete title: The Epicurean. A complete treatise of Analytical and Practical Studies on the Culinary Art including Table and Wine Service, How to Prepare and Cook Dishes, an Index for Marketing, a Great Variety of Bills of Fare for Breakfasts, Luncheons, Dinners, Suppers, Ambigus, Buffets, etc., and a Selection of Interesting Bills of Fare of Delmonico's, from 1862 to 1894. Making a Franco-American Culinary Encyclopedia.","PREFACE. IN PUBLISHING this work I have endeavored to fill a much needed want, viz: -the best and most effectual manner of preparing healthy and nutritious food. This edition contains innumerable recipes which I have simplified and explained in a comprehensive manner so as to meet the wants of all. It suggests, also, many useful and important hints to those about entering the profession. The book is illustrated and contains instructions how to prepare, garnish and serve according to the traditional rules of our most able predecessors, and now followed by the principal chefs of France and the United States. In some instances, where it was deemed necessary to differ from the standard rules and methods in order to cater to the various tastes, changes have been made. The book is divided into twenty-four chapters: Table Service, Bills of Fare, Supplies, Elementary Methods, Soups, Stocks, Hot and Cold Sauces, Garnishings, Hot and Cold Side Dishes, Shell Fish, Crustaceans, Fish, Beef, Veal, Mutton, Lamb, Pork, Poultry, Game, Miscellaneous Entrées, Cold Dishes, Vegetables, Cereals, Hot and Cold Desserts, Pastry, Bakery, Confectionery, Ices, Fruit, Wines and Preserves. Not relying solely on my experience and knowledge, I have quoted from the most illustrious modern author, my much beloved friend and colleague, Urbain Dubois, ex-chef at the Court of Germany, and it gives me sincere pleasure to thank him for his generous assistance. The profession will acknowledge its indebtedness to the Messrs. Delmonico for the interest shown by them in developing the gastronomic art in this country. Many will recall the business receptions given to distinguished guests under the supervision and direction of Delmonico. Mention may be made of the following dinners: to President U. S. Grant, to President A. Johnson, to the Grand Duke Alexis of Russia, to Gen. Prim, to Charles Dickens, to Sir Morton Peto, to Aug. Belmont, to Giraud Foster, to Gen. Cutting, to Luckmeyer, the so-called ""Black Swan Dinner,"" to Admiral Renaud, to Prof. Morse, to Bartholdi, to De Lesseps, to the Comte de Paris, also the ball given to the Russian Admiral and Fleet, and the Greek dinner. I have entitled this work THE EPICUREAN, and have justly dedicated it to the memory of Messrs. Delmonico, as a token of my gratitude and sincere esteem. Their world-wide reputation continues to be maintained by Mr. C. C. Delmonico. In conclusion I feel that my experience will be useful to those seeking information in the gastronomic art. Hoping the public will appreciate my efforts, I remain respectfully, CHARLES RANHOFER."
epib,"The Epicurean A Complete Treatise of Analytical and Practical Studies on The Culinary Art, Including",['Charles. Ranhofer'],1894,French,"The Epicurean. A Complete Treatise of Analytical and Practical Studies on The Culinary Art, Including Table and Wine Service, How to Prepare and Cook Dishes, an Index for Marketing, a Great Variety of Bills of Fare for Breakfasts, Luncheons, Dinners, Suppers, Ambigus, Buffets, etc., and a selection of Interesting Bills of Fare of Delmonico's from 1862 to 1894. Making a Franco-American Culinary Encyclopedia.",
fish,"What Mrs Fisher Knows about Old Southern Cooking, Soups, Pickles, Preserves, etc",['Abby. Fisher'],1881,AfricanAmerican,"Breakfast Breads; Broiled Meats; Croquettes; Cakes, Etc; Pickles, Sauces, Etc; Pies, Etc; Puddings; Preserves, Spices, Etc; Roast Meats; Salads; Sherbets; Soups, Chowders, Etc; Miscellaneous.","PREFACE AND APOLOGY. The publication of a book on my knowledge and experience of Southern Cooking, Pickle and Jelly Making, has been frequently asked of me by my lady friends and patrons in San Francisco and Oakland, and also by ladies of Sacramento during the State Fair in 1879. Not being able to read or write myself, and my husband also having been without the advantages of an education--upon whom would devolve the writing of the book at my dictation--caused me to doubt whether I would be able to present a work that would give perfect satisfaction. But, after due consideration, I concluded to bring forward a book of my knowledge--based on an experience of upwards of thirty-five years--in the art of cooking Soups, Gumbos, Terrapin Stews, Meat Stews, Baked and Roast Meats, Pastries, Pies and Biscuits, making Jellies, Pickles, Sauces, Ice-Creams and Jams, preserving Fruits, etc. The book will be found a complete instructor, so that a child can understand it and learn the art of cooking. Respectfully, MRS. ABBY FISHER,  I take pleasure in referring, by permission, to the following of my friends, namely: WM. F. BLOOD..............415 California Street, San Francisco E.M. MILES................413 Montgomery Street, San Francisco WM. O. GOULD..............512 California Street, San Francisco MRS CHARLES S. NEALE.........1814 Sutter Street, San Francisco MRS. JOHN HARROLD...........416 Chestnut Street, San Francisco Mrs. W.H. GLASCOCK.....................................Oakland Mrs. G.H. COY..................431 Geary Street, San Francisco Mrs. JOHN C. FALLS...............................San Francisco Mrs. LOUIS H. VANSCHAICK........129 page Street, San Francisco"
fofb,Foods of the Foreign-Born In Relation to Health,['Bertha M. Wood'],1922,Asian,"Dietary Backgrounds; Mexicans; Portuguese; Italians; Hungarians; Poles and Other Slavic Peoples; The Near East: Armenians, Syrians, Turks, and Greeks; Jews; Applications.","PREFACE THE purpose of the study which resulted in the collection of the enclosed material was to compare the foods of other peoples with that of the Americans in relation to health. The inspiration for the work came at the request of Mr. Michael M. Davis, Jr. A deep sense of appreciation is felt toward many friends and fellow workers who very kindly coöperated. Acknowledgment is here given to a large number of men and women of different nationalities for their patience and help in teaching the recipes which had to be made many times before the measurements were standardized. Mrs. Mary L. Schapiro's article, ""Jewish Dietary Problems,"" was of great value in making the study of Jewish food habits. Many thanks are due to Miss Minnie Newman, of the Foreign Department of the National Young Women's Christian Association, for much information secured in relation to both the Polish and Hungarian diets. To all others who from time to time added valuable information, this piece of work is gratefully dedicated. BERTHA M. WOOD. BOSTON, December, 1921."
